Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
,1962,437118236,
,1963,447027459,
,1964,456963600,
,1965,466843178,
,1966,476580530,
,1967,486190006,
,1968,495698218,
,1969,505217480,
,1970,515080521,
,1971,525203247,
,1972,535104029,
,1973,544799461,
,1974,554515598,
,1975,564296858,
,1976,574121361,
,1977,584093311,
,1978,594231921,
,1979,604509081,
,1980,614995559,
,1981,625567978,
,1982,636207174,
,1983,646988452,
,1984,657807334,
,1985,668598299,
,1986,679322517,
,1987,690036435,
,1988,700864741,
,1989,711800736,
,1990,723167029,
,1991,734827529,
,1992,746446435,
,1993,757897506,
,1994,769066719,
,1995,780097788,
,1996,790984090,
,1997,801748680,
,1998,812545221,
,1999,823277582,
,2000,833823329,
,2001,844243626,
,2002,854486140,
,2003,864557890,
,2004,874538474,
,2005,884494788,
,2006,894470073,
,2007,904530240,
,2008,914594515,
,2009,924521281,
,2010,934293894,
,2011,944029797,
,2012,953741209,
,2013,963367755,
,2014,972890539,
,2015,982256771,
,2016,991580857,
,2017,1000714164,
,2018,1009489473,
,2019,1017894603,
,2020,1024463737,
,2021,1029207261,
,2022,1034848561,
,2023,1041794257,
,2024,,1048761178
,2025,,1055416957
,2026,,1061764384
,2027,,1067878006
,2028,,1073825961
,2029,,1079592915
,2030,,1085173076
,2031,,1090588082
,2032,,1095832643
,2033,,1100899151
,2034,,1105806470
,2035,,1110538996
,2036,,1115074970
,2037,,1119428915
,2038,,1123606008
,2039,,1127572252
,2040,,1131309755
,2041,,1134830966
,2042,,1138151189
,2043,,1141252278
,2044,,1144106929
,2045,,1146736461
,2046,,1149134851
,2047,,1151321433
,2048,,1153304286
,2049,,1155063026
,2050,,1156636631
,2051,,1158044039
,2052,,1159268982
,2053,,1160314191
,2054,,1161165709
,2055,,1161832899
,2056,,1162356751
,2057,,1162771409
,2058,,1163103012
,2059,,1163312320
,2060,,1163362016
,2061,,1163304715
,2062,,1163161836
,2063,,1162909591
,2064,,1162534461
,2065,,1162042718
,2066,,1161460016
,2067,,1160799545
,2068,,1160033115
,2069,,1159156079
,2070,,1158158763
,2071,,1157050989
,2072,,1155827457
,2073,,1154466264
,2074,,1152990519
,2075,,1151433386
,2076,,1149786038
,2077,,1147994640
,2078,,1146083485
,2079,,1144055782
,2080,,1141903874
,2081,,1139709937
,2082,,1137451502
,2083,,1135089517
,2084,,1132659372
,2085,,1130123897
,2086,,1127523076
,2087,,1124900235
,2088,,1122277186
,2089,,1119626973
,2090,,1116898528
,2091,,1114150509
,2092,,1111400806
,2093,,1108616678
,2094,,1105809797
,2095,,1102984511
,2096,,1100111825
,2097,,1097223442
,2098,,1094316053
,2099,,1091379506
,2100,,1088413248
AND,1950,6018,
AND,1951,5843,
AND,1952,5474,
AND,1953,5346,
AND,1954,5623,
AND,1955,6187,
AND,1956,6788,
AND,1957,7420,
AND,1958,8090,
AND,1959,8794,
AND,1960,9532,
AND,1961,10307,
AND,1962,11107,
AND,1963,11936,
AND,1964,12787,
AND,1965,13656,
AND,1966,14649,
AND,1967,15860,
AND,1968,17201,
AND,1969,18581,
AND,1970,19999,
AND,1971,21466,
AND,1972,22978,
AND,1973,24544,
AND,1974,26153,
AND,1975,27799,
AND,1976,29457,
AND,1977,31125,
AND,1978,32758,
AND,1979,34326,
AND,1980,35802,
AND,1981,37194,
AND,1982,38785,
AND,1983,40586,
AND,1984,42291,
AND,1985,43845,
AND,1986,45758,
AND,1987,47677,
AND,1988,49441,
AND,1989,50638,
AND,1990,52616,
AND,1991,56691,
AND,1992,60217,
AND,1993,63293,
AND,1994,64631,
AND,1995,63936,
AND,1996,64006,
AND,1997,64722,
AND,1998,65400,
AND,1999,65732,
AND,2000,65703,
AND,2001,65874,
AND,2002,66528,
AND,2003,69507,
AND,2004,74342,
AND,2005,77436,
AND,2006,79609,
AND,2007,81901,
AND,2008,83513,
AND,2009,83907,
AND,2010,80727,
AND,2011,77801,
AND,2012,76858,
AND,2013,75220,
AND,2014,73755,
AND,2015,72195,
AND,2016,72197,
AND,2017,73780,
AND,2018,75181,
AND,2019,76492,
AND,2020,77397,
AND,2021,78379,
AND,2022,79722,
AND,2023,80869,
AND,2024,,81955
AND,2025,,82920
AND,2026,,83774
AND,2027,,84481
AND,2028,,84973
AND,2029,,85365
AND,2030,,85693
AND,2031,,85902
AND,2032,,86001
AND,2033,,86075
AND,2034,,86122
AND,2035,,86188
AND,2036,,86134
AND,2037,,86026
AND,2038,,85957
AND,2039,,85858
AND,2040,,85684
AND,2041,,85489
AND,2042,,85299
AND,2043,,85032
AND,2044,,84694
AND,2045,,84304
AND,2046,,83935
AND,2047,,83529
AND,2048,,83111
AND,2049,,82659
AND,2050,,82213
AND,2051,,81685
AND,2052,,81094
AND,2053,,80471
AND,2054,,79783
AND,2055,,79071
AND,2056,,78342
AND,2057,,77589
AND,2058,,76823
AND,2059,,76041
AND,2060,,75237
AND,2061,,74413
AND,2062,,73600
AND,2063,,72776
AND,2064,,71942
AND,2065,,71118
AND,2066,,70359
AND,2067,,69610
AND,2068,,68798
AND,2069,,67997
AND,2070,,67228
AND,2071,,66517
AND,2072,,65806
AND,2073,,65082
AND,2074,,64388
AND,2075,,63688
AND,2076,,62991
AND,2077,,62275
AND,2078,,61533
AND,2079,,60808
AND,2080,,60109
AND,2081,,59410
AND,2082,,58696
AND,2083,,57984
AND,2084,,57317
AND,2085,,56681
AND,2086,,56039
AND,2087,,55377
AND,2088,,54730
AND,2089,,54078
AND,2090,,53436
AND,2091,,52801
AND,2092,,52157
AND,2093,,51505
AND,2094,,50865
AND,2095,,50228
AND,2096,,49604
AND,2097,,48992
AND,2098,,48396
AND,2099,,47810
AND,2100,,47241
AGO,1950,4551869,
AGO,1951,4602567,
AGO,1952,4651693,
AGO,1953,4706357,
AGO,1954,4766716,
AGO,1955,4832775,
AGO,1956,4904275,
AGO,1957,4980650,
AGO,1958,5061137,
AGO,1959,5145107,
AGO,1960,5231664,
AGO,1961,5301584,
AGO,1962,5354315,
AGO,1963,5408334,
AGO,1964,5464186,
AGO,1965,5521982,
AGO,1966,5581391,
AGO,1967,5641810,
AGO,1968,5702706,
AGO,1969,5763693,
AGO,1970,5852790,
AGO,1971,5991114,
AGO,1972,6174269,
AGO,1973,6388534,
AGO,1974,6613368,
AGO,1975,6842952,
AGO,1976,7074668,
AGO,1977,7317837,
AGO,1978,7576742,
AGO,1979,7847207,
AGO,1980,8133867,
AGO,1981,8435605,
AGO,1982,8751653,
AGO,1983,9082985,
AGO,1984,9425921,
AGO,1985,9779125,
AGO,1986,10139459,
AGO,1987,10497863,
AGO,1988,10861299,
AGO,1989,11238562,
AGO,1990,11626361,
AGO,1991,12023532,
AGO,1992,12423717,
AGO,1993,12827136,
AGO,1994,13249763,
AGO,1995,13699780,
AGO,1996,14170973,
AGO,1997,14660419,
