ISO,Year,GDP per capita growth (annual %)
ARB,1992,3.868231592
ARB,1993,0.426411075
ARB,1994,0.56213748
ARB,1995,0.239123823
ARB,1996,2.291927022
ARB,1997,2.94280835
ARB,1998,2.256936931
ARB,1999,0.345002164
ARB,2000,3.80851584
ARB,2001,-0.350194374
ARB,2002,-1.172914196
ARB,2003,1.886783928
ARB,2004,6.566776598
ARB,2005,3.094647061
ARB,2006,3.742829198
ARB,2007,2.000825484
ARB,2008,2.915831496
ARB,2009,-1.814772992
ARB,2010,2.76677366
ARB,2011,1.418897813
ARB,2012,2.622699606
ARB,2013,0.053582125
ARB,2014,0.211863763
ARB,2015,0.786178975
ARB,2016,1.177005715
ARB,2017,-0.413328595
ARB,2018,0.8343046
ARB,2019,-0.169697469
ARB,2020,-6.739136927
ARB,2021,2.835410187
ARB,2022,4.565307903
ARB,2023,-0.75981275
ARB,2024,-0.610337907
ARG,1960,
ARG,1961,3.697198142
ARG,1962,-2.481211956
ARG,1963,-6.851643196
ARG,1964,8.371062335
ARG,1965,8.853455746
ARG,1966,-2.169542718
ARG,1967,1.629722992
ARG,1968,3.230850808
ARG,1969,8.00868539
ARG,1970,1.450585236
ARG,1971,4.007823332
ARG,1972,0.032008915
ARG,1973,1.162903576
ARG,1974,3.812252247
ARG,1975,-1.623206186
ARG,1976,-3.539953348
ARG,1977,5.254065547
ARG,1978,-6.020787796
ARG,1979,8.476652165
ARG,1980,-0.085639703
ARG,1981,-6.696558857
ARG,1982,-2.315359754
ARG,1983,2.690838016
ARG,1984,-0.033820922
ARG,1985,-6.668386606
ARG,1986,4.515050971
ARG,1987,1.13014295
ARG,1988,-2.611124783
ARG,1989,-8.56786939
ARG,1990,-3.911192293
ARG,1991,7.575135073
ARG,1992,6.453323571
ARG,1993,6.752114948
ARG,1994,4.427311622
ARG,1995,-4.109935987
ARG,1996,4.208050173
ARG,1997,6.805821143
ARG,1998,2.63654067
ARG,1999,-4.493066552
ARG,2000,-1.906841392
ARG,2001,-5.452639033
ARG,2002,-11.84231382
ARG,2003,7.71839038
ARG,2004,7.92951713
ARG,2005,7.738981076
ARG,2006,6.941851601
ARG,2007,7.932610113
ARG,2008,3.008568926
ARG,2009,-6.910312115
ARG,2010,8.968196729
ARG,2011,4.881272528
ARG,2012,-2.038325309
ARG,2013,1.393512661
ARG,2014,-3.51326421
ARG,2015,1.660912538
ARG,2016,-3.024500956
ARG,2017,1.916396081
ARG,2018,-3.415536839
ARG,2019,-2.695067235
ARG,2020,-10.33610969
ARG,2021,10.14855999
ARG,2022,5.048195323
ARG,2023,-1.892949797
ARG,2024,-2.058402754
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,
ARM,1991,-13.21114999
ARM,1992,-41.11376353
ARM,1993,-5.669733605
ARM,1994,8.179314214
ARM,1995,8.743158122
ARM,1996,6.796794519
ARM,1997,4.353752932
ARM,1998,8.56710544
ARM,1999,4.640952317
ARM,2000,4.130758874
ARM,2001,9.917354754
ARM,2002,13.62452653
ARM,2003,14.61970149
ARM,2004,11.11449019
ARM,2005,14.56970188
ARM,2006,13.8986537
ARM,2007,14.42082449
ARM,2008,7.602947751
ARM,2009,-13.50884214
ARM,2010,2.911586968
ARM,2011,5.284375308
ARM,2012,7.334704541
ARM,2013,3.371783587
ARM,2014,3.881876701
ARM,2015,3.515995473
ARM,2016,0.611877151
ARM,2017,7.965446065
ARM,2018,5.568501179
ARM,2019,7.836084387
ARM,2020,-7.168664527
ARM,2021,5.771427608
ARM,2022,12.33833356
ARM,2023,8.479020342
ARM,2024,3.484216252
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,
ABW,1987,17.59320595
