Code,Year,population using safely managed sanitation services,"population using only basic sanitation services, improved sanitation facilities which are not shared","population using limited sanitation services, improved sanitation facilities which are shared",population using unimproved sanitation facilities,population practicing open defecation
EGY,2019,66.27778,30.922781,1.8461689,0.9284581,0.024814738
EGY,2020,67.15456,30.367008,1.6218275,0.84978914,0.006822312
EGY,2021,67.162125,30.362524,1.6198406,0.8486741,0.00683491
EGY,2022,67.17219,30.356562,1.6171999,0.8471985,0.006851653
SLV,2000,,,8.520912,1.3999072,9.510572
SLV,2001,,,8.52848,1.3912083,9.419051
SLV,2002,,,8.536019,1.3825428,9.327863
SLV,2003,,,8.759617,1.3503898,8.757236
SLV,2004,,,8.981554,1.318368,8.195524
SLV,2005,,,9.201672,1.2865341,7.643271
SLV,2006,,,9.419847,1.2548356,7.099956
SLV,2007,,,9.635183,1.2225147,6.5592422
SLV,2008,,,9.840978,1.1855141,5.990618
SLV,2009,,,10.0400915,1.1488671,5.4377995
SLV,2010,,,10.232375,1.11256,4.900291
SLV,2011,,,10.417676,1.0765567,4.37776
SLV,2012,,,10.595962,1.0408998,3.8701625
SLV,2013,,,10.76726,1.0056018,3.3773878
SLV,2014,,,10.93142,0.9706331,2.8989854
SLV,2015,,,11.088447,0.9360087,2.434752
SLV,2016,,,11.23926,0.90191275,1.9850963
SLV,2017,,,11.384272,0.8683617,1.5495081
SLV,2018,,,11.5237055,0.8353317,1.1273015
SLV,2019,,,11.657771,0.7385188,0.7821039
SLV,2020,,,11.786771,0.5854879,0.5057554
SLV,2021,,,11.908552,0.4568351,0.24310662
SLV,2022,,,12.015859,0.43135765,0
GNQ,2000,,,7.635243,26.89432,10.679904
GNQ,2001,,,7.814117,26.395082,10.013834
GNQ,2002,,,7.99205,25.902555,9.358392
GNQ,2003,,,8.168606,25.418242,8.713917
GNQ,2004,,,8.343737,24.94229,8.080384
GNQ,2005,,,8.516859,24.476654,7.4581103
GNQ,2006,,,8.688148,24.020695,6.8468213
GNQ,2007,,,8.8573,23.575373,6.246547
GNQ,2008,,,9.024228,23.140919,5.657138
GNQ,2009,,,9.188532,22.718594,5.0785565
GNQ,2010,,,9.350291,22.308025,4.5104904
GNQ,2011,,,9.509377,21.90955,3.952704
GNQ,2012,,,9.665713,21.523304,3.4049127
GNQ,2013,,,9.771402,21.30474,2.876914
GNQ,2014,,,9.799122,21.21471,2.8710566
GNQ,2015,,,9.826533,21.12568,2.8652644
GNQ,2016,,,9.853378,21.038488,2.8595917
GNQ,2017,,,9.879503,20.953632,2.8540714
ERI,2000,,,7.619402,1.3663576,82.72894
ERI,2001,,,7.8223677,2.0458193,81.49133
ERI,2002,,,8.020034,2.7480426,80.24563
ERI,2003,,,8.211842,3.473598,78.99248
ERI,2004,,,8.397502,4.2231226,77.731926
ERI,2005,,,8.576244,4.9970284,76.465195
ERI,2006,,,8.748278,5.7961197,75.191185
ERI,2007,,,8.91263,6.6206264,73.91167
ERI,2008,,,9.069726,7.4715023,72.625
ERI,2009,,,9.1296215,8.28417,71.56417
ERI,2010,,,9.183891,9.1121645,70.502
ERI,2011,,,9.2326565,9.955849,69.43796
ERI,2012,,,9.275612,10.815263,68.37261
ERI,2013,,,9.396351,10.933168,68.03421
ERI,2014,,,9.517887,11.051853,67.69358
ERI,2015,,,9.640416,11.171515,67.35016
ERI,2016,,,9.763941,11.292148,67.003944
EST,2000,91.670235,8.012971,0,0.31679282,0
EST,2001,91.54687,8.140141,0,0.31299603,0
EST,2002,91.42045,8.268904,0.001601051,0.30904597,0
EST,2003,91.25463,8.396028,0.044385172,0.3049538,0
EST,2004,91.170135,8.425302,0.10385421,0.30070642,0
EST,2005,91.084305,8.456092,0.16329464,0.2963078,0
EST,2006,90.99701,8.488526,0.22270656,0.29175714,0
EST,2007,90.90836,8.522495,0.28209013,0.28705233,0
EST,2008,90.81836,8.557999,0.34144562,0.28219578,0
EST,2009,90.727005,8.5950365,0.4007733,0.27718195,0
EST,2010,90.63414,8.633767,0.4600727,0.27201736,0
EST,2011,90.53991,8.674048,0.5193445,0.2666983,0
EST,2012,90.46796,8.692328,0.57871723,0.26099747,0
EST,2013,90.42113,8.685468,0.6382414,0.25516492,0
EST,2014,90.376305,8.676379,0.6978029,0.24951252,0
EST,2015,90.38788,8.670094,0.697997,0.24403271,0
EST,2016,90.40167,8.661401,0.69819,0.23873284,0
EST,2017,90.419136,8.648852,0.6983898,0.23362237,0
EST,2018,90.44083,8.631861,0.6985988,0.22871724,0
EST,2019,90.41254,8.664623,0.69881576,0.22402585,0
EST,2020,90.41972,8.661027,0.69903535,0.22021295,0
EST,2021,90.41785,8.652684,0.69917804,0.23029235,0
EST,2022,90.42082,8.6394005,0.6993295,0.24044995,0
SWZ,2000,,,21.950325,6.4409375,22.878471
SWZ,2001,,,22.2042,6.7387605,21.8072
SWZ,2002,,,22.250174,7.0373826,20.732098
SWZ,2003,,,22.281237,7.3367963,19.653206
SWZ,2004,,,22.297197,7.6370335,18.571001
SWZ,2005,,,22.298239,7.938025,17.48483
SWZ,2006,,,22.284157,8.23981,16.395159
SWZ,2007,,,22.260204,8.540782,15.293761
SWZ,2008,,,22.258785,8.83114,14.142275
SWZ,2009,,,22.2497,9.120115,12.996553
SWZ,2010,,,22.233086,9.407693,11.856638
SWZ,2011,,,22.209234,9.69382,10.722451
SWZ,2012,,,22.166027,9.9821205,9.601844
SWZ,2013,,,22.114067,10.269442,8.485222
SWZ,2014,,,22.053267,10.555827,7.3727074
SWZ,2015,,,21.983898,10.84122,6.264233
SWZ,2016,,,21.907578,11.125177,5.1594787
SWZ,2017,,,21.824444,11.407689,4.0588107
SWZ,2018,,,21.73507,11.688614,2.9624932
SWZ,2019,,,21.63983,11.967885,1.8708535
SWZ,2020,,,21.687778,13.038884,0.7842208
SWZ,2021,,,21.73775,13.570503,0.23630695
SWZ,2022,,,21.789988,13.562942,0.22683713
ETH,2000,2.156488,0.6374091,3.9338706,17.815123,75.45711
ETH,2001,2.395848,0.69946355,4.0751376,20.169386,72.660164
ETH,2002,2.628727,0.7681136,4.218363,22.516037,69.86876
ETH,2003,2.861281,0.83677125,4.3627806,24.85433,67.08484
ETH,2004,3.1032608,0.9059876,4.4984965,27.18433,64.30792
ETH,2005,3.3419855,0.97445476,4.639509,29.50591,61.53814
ETH,2006,3.577616,1.0422165,4.7860265,31.819033,58.77511
ETH,2007,3.811943,1.1096896,4.9419928,34.124557,56.011818
ETH,2008,4.063624,1.1811942,5.149755,36.429096,53.17633
ETH,2009,4.312991,1.2523141,5.363656,38.71622,50.35482
ETH,2010,4.5605,1.3231732,5.584377,40.985546,47.546406
ETH,2011,4.806023,1.3937609,5.8112607,43.2365,44.752457
ETH,2012,5.04991,1.4641798,6.0447135,45.468525,41.97267
ETH,2013,5.289333,1.5345575,6.2795496,47.682228,39.214333
ETH,2014,5.5271206,1.6048877,6.5204344,49.876736,36.47082
ETH,2015,5.763272,1.6751827,6.7669654,52.051624,33.742958
ETH,2016,5.998034,1.7455168,7.0192666,54.2063,31.030884
ETH,2017,6.2312856,1.8158717,7.276665,56.340523,28.335655
ETH,2018,6.4635344,1.8863889,7.5398026,58.453373,25.6569
ETH,2019,6.69492,1.957119,7.808521,60.54425,22.99519
ETH,2020,6.925458,2.0280797,8.0823965,62.61277,20.351295
ETH,2021,7.155423,2.0993571,8.361522,64.65816,17.72554
ETH,2022,7.219802,2.1164143,8.487763,64.54086,17.635155
,2000,69.72235,23.51792,1.3256303,5.3034353,0.13066502
,2001,69.67287,23.348864,1.2959592,5.5550356,0.1272742
,2002,69.86973,23.334812,1.2945527,5.379003,0.12190353
,2003,70.072136,23.321299,1.2937571,5.196541,0.11626957
,2004,70.42894,23.163584,1.2836317,5.013225,0.11061496
,2005,70.786156,23.015892,1.2628863,4.830159,0.10490685
