Code,Year,population using safely managed drinking water services,population using only basic drinking water services,population using limited drinking water services,population using unimproved drinking water services,population using surface water as a primary source of drinking water
ABW,2008,,,0,3.1131496,0.14456595
ABW,2009,,,0,2.8248463,0.15118457
ABW,2010,,,0,2.536543,0.15780318
ABW,2011,,,0,2.2482395,0.1644218
ABW,2012,,,0,1.9599363,0.17104042
ABW,2013,,,0,1.9599363,0.17104042
ABW,2014,,,0,1.9599363,0.17104042
ABW,2015,,,0,1.9599363,0.17104042
ABW,2016,,,0,1.9599363,0.17104042
AUS,2000,,,0,0.24040982,0.047294997
AUS,2001,,,0,0.2410559,0.047699995
AUS,2002,,,0,0.2404727,0.047333997
AUS,2003,,,0,0.21867046,0.04697101
AUS,2004,,,0,0.19704574,0.046611
AUS,2005,,,0,0.17559732,0.046253998
AUS,2006,,,0,0.15432605,0.0459
AUS,2007,,,0,0.13321184,0.045534004
AUS,2008,,,0,0.11227389,0.045170993
AUS,2009,,,0,0.09151428,0.044811007
AUS,2010,,,0,0.07240595,0.044449557
AUS,2011,,,0,0.06397856,0.044059616
AUS,2012,,,0,0.055512182,0.043718223
AUS,2013,,,0,0.04702723,0.04338338
AUS,2014,,,0,0.038523585,0
AUS,2015,,,0,0.029999096,0
AUS,2016,,,0,0.030033324,0
AUS,2017,,,0,0.030062495,0
AUS,2018,,,0,0.030106232,0
AUS,2019,,,0,0.030145634,0
AUS,2020,,,0,0.03018235,0
AUS,2021,,,0,0.03022533,0
AUS,2022,,,0,0.030268608,0
,2000,,,0,0.19988896,0.03932346
,2001,,,0,0.20053317,0.03968136
,2002,,,0,0.19993703,0.03935505
,2003,,,0,0.18160976,0.039010253
,2004,,,0,0.16354568,0.03868653
,2005,,,0,0.14573845,0.03838889
,2006,,,0,0.1281537,0.038115647
,2007,,,0,0.11076469,0.037861202
,2008,,,0,0.09352288,0.03762676
,2009,,,0,0.07634794,0.037384633
,2010,,,0,0.060470056,0.037122075
,2011,,,0,0.0534952,0.036840122
,2012,,,0,0.046491235,0.03661384
,2013,,,0,0.039433572,0.036378045
,2014,,,0,0.032309357,0
,2015,,,0,0.025151996,0
,2016,,,0,0.025176095,0
,2017,,,0,0.0251988,0
,2018,,,0,0.025220895,0
,2019,,,0,0.0252145,0
,2020,,,0,0.025211604,0
,2021,,,0,0.025232598,0
,2022,,,0,0.02526421,0
AUT,2000,96.71924,3.280765,0,2.682051e-07,0
AUT,2001,96.890495,3.1095023,0,0,0
AUT,2002,97.06175,2.9382448,0,7.010853e-07,0
AUT,2003,97.23301,2.7669847,0,2.9585135e-06,0
AUT,2004,97.404274,2.5957246,0,2.4858598e-06,0
AUT,2005,97.57553,2.4244645,0,7.834309e-07,0
AUT,2006,97.746796,2.2532022,0,0,0
AUT,2007,97.91805,2.0819445,0,9.1831737e-07,0
AUT,2008,98.08932,1.9106843,0,1.6899746e-06,0
AUT,2009,98.260574,1.7394235,0,0,0
AUT,2010,98.43184,1.5681629,0,0,0
AUT,2011,98.603096,1.3969041,0,5.818968e-07,0
AUT,2012,98.77435,1.225644,0,3.3364427e-06,0
AUT,2013,98.91264,1.087356,0,2.142105e-06,0
AUT,2014,98.91103,1.0889691,0,0,0
AUT,2015,98.909424,1.0905775,0,1.1751627e-06,0
AUT,2016,98.90781,1.0921918,0,0,0
AUT,2017,98.906204,1.0937979,0,0,0
AUT,2018,98.90447,1.0955245,0,6.848797e-07,0
AUT,2019,98.90262,1.0973774,0,3.4091938e-06,0
AUT,2020,98.90064,1.0993569,0,0,0
AUT,2021,98.898544,1.1014571,0,0,0
AUT,2022,98.896324,1.103676,0,6.335912e-07,0
AZE,2000,57.748554,15.668026,7.717085,8.377584,10.48875
AZE,2001,59.488415,15.150969,7.357053,8.087611,9.915955
AZE,2002,60.110435,15.75985,6.983519,7.799085,9.347112
AZE,2003,60.72896,16.38087,6.596523,7.511769,8.7818775
AZE,2004,61.343765,17.013733,6.1962805,7.225792,8.220428
AZE,2005,61.954678,17.658154,5.783004,6.9412622,7.662904
AZE,2006,62.561893,18.31411,5.3567924,6.6580563,7.109147
AZE,2007,63.165577,18.981562,4.917752,6.3760734,6.5590353
AZE,2008,63.765392,19.660116,4.4661417,6.0955315,6.0128193
AZE,2009,64.36151,20.34974,4.0020666,5.8163133,5.4703712
AZE,2010,64.956116,21.051767,3.5250115,5.5368967,4.930209
AZE,2011,65.54863,21.765636,3.0353265,5.257541,4.3928695
AZE,2012,66.13864,22.490862,2.5333393,4.9783792,3.8587754
AZE,2013,66.725845,23.227007,2.0193677,4.699491,3.3282857
AZE,2014,67.3097,23.973455,1.4938258,4.4211125,2.8019087
AZE,2015,67.889786,24.67954,1.0072204,4.143389,2.2800667
AZE,2016,68.46568,24.887478,1.017181,3.8664744,1.7631845
AZE,2017,69.03699,25.094248,1.0265677,3.5905137,1.2516853
AZE,2018,69.603264,25.299711,1.0353636,3.3078094,0.7538502
AZE,2019,70.16406,25.503683,1.0435755,2.9897368,0.29893976
AZE,2020,70.67331,25.688772,1.0511638,2.586754,0
AZE,2021,71.14635,25.860754,1.0581609,1.9347371,0
AZE,2022,71.6117,26.030483,1.064502,1.2933112,0
BHS,2000,,,0,1.7545044,0
BHS,2001,,,0,1.71174,0
BHS,2002,,,0,1.6689757,0
BHS,2003,,,0,1.6262114,0
